"Mon, 24/FEB, 01:30:48",164.78,23
"Mon, 24/FEB, 01:45:47",164.45,28
"Mon, 24/FEB, 02:00:48",163.58,26
"Mon, 24/FEB, 02:15:47",164.63,46
"Mon, 24/FEB, 02:30:48",163.74,35
"Mon, 24/FEB, 02:45:47",163.48,33
"Mon, 24/FEB, 03:00:48",162.5,27
"Mon, 24/FEB, 03:15:47",161.76,22
"Mon, 24/FEB, 03:30:48",161.22,21
"Mon, 24/FEB, 03:45:47",162.33,32
"Mon, 24/FEB, 04:00:47",160.93,30
"Mon, 24/FEB, 04:15:47",160.28,21
"Mon, 24/FEB, 04:30:47",159.16,20
"Mon, 24/FEB, 04:45:47",159.17,21
"Mon, 24/FEB, 05:00:47",158.51,20
"Mon, 24/FEB, 05:15:47",159.52,41
"Mon, 24/FEB, 05:30:47",159.75,46
"Mon, 24/FEB, 05:45:48",160.44,51
"Mon, 24/FEB, 06:00:47",159.78,42
"Mon, 24/FEB, 06:15:48",159.06,30
"Mon, 24/FEB, 06:30:47",159.78,37
"Mon, 24/FEB, 06:45:47",159.9,44
"Mon, 24/FEB, 07:00:47",161.06,57
"Mon, 24/FEB, 07:15:47",160.94,57
"Mon, 24/FEB, 07:30:47",161.05,52
"Mon, 24/FEB, 07:45:47",161.03,47
"Mon, 24/FEB, 08:00:47",161.04,42
"Mon, 24/FEB, 08:15:47",159.71,30
"Mon, 24/FEB, 08:30:47",158.82,22
"Mon, 24/FEB, 08:45:48",158.08,20
"Mon, 24/FEB, 09:00:48",157.97,26
"Mon, 24/FEB, 09:15:48",159.38,50
"Mon, 24/FEB, 09:30:48",160,62
"Mon, 24/FEB, 09:45:47",159.38,46
"Mon, 24/FEB, 10:00:47",158.16,28
"Mon, 24/FEB, 10:15:47",157.52,24
"Mon, 24/FEB, 10:30:48",156.38,20
"Mon, 24/FEB, 10:45:47",156.3,25
"Mon, 24/FEB, 11:00:48",156.73,43
"Mon, 24/FEB, 11:15:47",156.89,45
"Mon, 24/FEB, 11:30:47",158.43,60
"Mon, 24/FEB, 11:45:47",158.51,60
"Mon, 24/FEB, 12:00:47",159.13,57
"Mon, 24/FEB, 12:15:47",158.7,48
"Mon, 24/FEB, 12:30:47",159.4,50
"Mon, 24/FEB, 12:45:47",159.37,48
"Mon, 24/FEB, 13:00:48",159.27,45
"Mon, 24/FEB, 13:15:48",159.27,43
"Mon, 24/FEB, 13:30:49",159.55,48
"Mon, 24/FEB, 13:45:48",159.29,49
"Mon, 24/FEB, 14:00:47",158.14,33
"Mon, 24/FEB, 14:15:48",157.89,30
"Mon, 24/FEB, 14:30:47",157.26,31
"Mon, 24/FEB, 14:45:47",156.74,29
"Mon, 24/FEB, 15:00:47",155.71,25
"Mon, 24/FEB, 15:15:47",153.67,16
"Mon, 24/FEB, 15:30:49",151.9,15
"Mon, 24/FEB, 15:45:47",152.43,19
"Mon, 24/FEB, 16:00:47",152.42,27
"Mon, 24/FEB, 16:15:47",153.34,49
"Mon, 24/FEB, 16:30:48",154.07,55
"Mon, 24/FEB, 16:45:48",153.98,48
"Mon, 24/FEB, 17:00:48",153.33,32
"Mon, 24/FEB, 17:15:47",153.29,32
"Mon, 24/FEB, 17:30:47",154.63,54
"Mon, 24/FEB, 17:45:47",155.05,64
"Mon, 24/FEB, 18:00:47",154.16,45
"Mon, 24/FEB, 18:15:48",153.74,33
"Mon, 24/FEB, 18:30:48",153.24,31
"Mon, 24/FEB, 18:45:48",153.27,33
"Mon, 24/FEB, 19:00:48",151.65,26
"Mon, 24/FEB, 19:15:48",151.89,27
"Mon, 24/FEB, 19:30:48",151.83,32
"Mon, 24/FEB, 19:45:48",148.7,17
"Mon, 24/FEB, 20:00:47",149.65,21
"Mon, 24/FEB, 20:15:47",151.88,62
"Mon, 24/FEB, 20:30:47",151.19,57
"Mon, 24/FEB, 20:45:48",151.85,53
"Mon, 24/FEB, 21:00:47",150.9,36
"Mon, 24/FEB, 21:15:48",150.37,29
"Mon, 24/FEB, 21:30:48",151.99,52
"Mon, 24/FEB, 21:45:47",151.45,53
"Mon, 24/FEB, 22:00:48",149.81,29
"Mon, 24/FEB, 22:15:48",145.01,15
"Mon, 24/FEB, 22:30:47",146.83,19
"Mon, 24/FEB, 22:45:47",146.03,31
"Mon, 24/FEB, 23:00:48",141.39,17
"Mon, 24/FEB, 23:15:48",143.09,20
"Mon, 24/FEB, 23:30:47",141.63,30
"Mon, 24/FEB, 23:45:47",142.61,32
"Tue, 25/FEB, 00:00:48",142.32,46
"Tue, 25/FEB, 00:15:47",140.17,21
"Tue, 25/FEB, 00:30:47",143.1,46
"Tue, 25/FEB, 00:45:48",139.64,32
"Tue, 25/FEB, 01:00:47",140.87,32
"Tue, 25/FEB, 01:15:48",141.68,45
"Tue, 25/FEB, 01:30:48",140.04,32
"Tue, 25/FEB, 01:45:47",140.99,44
"Tue, 25/FEB, 02:00:48",140.58,42
"Tue, 25/FEB, 02:15:47",139.89,32
"Tue, 25/FEB, 02:30:47",139.95,36
"Tue, 25/FEB, 02:45:47",141.33,50
"Tue, 25/FEB, 03:00:47",141.39,55
"Tue, 25/FEB, 03:15:47",140.29,37
"Tue, 25/FEB, 03:30:47",140.28,32
"Tue, 25/FEB, 03:45:47",140.07,37
"Tue, 25/FEB, 04:00:48",138.67,29
"Tue, 25/FEB, 04:15:47",137.77,24
"Tue, 25/FEB, 04:30:47",138.83,36
"Tue, 25/FEB, 04:45:47",137.23,34
"Tue, 25/FEB, 05:00:47",137.7,31
"Tue, 25/FEB, 05:15:47",140.3,57
"Tue, 25/FEB, 05:30:47",140.6,65
"Tue, 25/FEB, 05:45:47",140.86,59
"Tue, 25/FEB, 06:00:47",141.47,57
"Tue, 25/FEB, 06:15:47",139.93,39
"Tue, 25/FEB, 06:30:47",139.65,37
"Tue, 25/FEB, 06:45:47",140.64,49
"Tue, 25/FEB, 07:00:48",138.62,34
"Tue, 25/FEB, 07:15:47",136.31,21
"Tue, 25/FEB, 07:30:47",135.32,15
